method,alpha,lambda,sigma,rho,qbo,qerm,mbo,m,Q
BENERR,0.1,0.15707088649513384,0.5,1.0,0.0496594804999958,0.1737795183502909,nan,0.0929026700848245,nan
BENERR,0.3,0.1519284054938317,0.5,1.0,0.14144589175016553,0.5223312312044275,nan,0.2717678264178547,nan
BENERR,0.6444444444444445,0.14269407259298922,0.5,1.0,0.2770650028924019,1.1320947021573342,nan,0.5598908876706847,nan
BENERR,0.7777777777777777,0.13949882556919485,0.5,1.0,0.32249132198607156,1.368451038295579,nan,0.6640968513112455,nan
BENERR,1.188888888888889,0.13083805924651054,0.5,1.0,0.4409106236008512,2.090436743417901,nan,0.9597437304230695,nan
BENERR,1.2555555555555555,0.1307095607492745,0.5,1.0,0.45736599965776115,2.188210315808397,nan,1.0001064989932442,nan
BENERR,1.7333333333333336,0.1229495174323934,0.5,1.0,0.5569314169403988,2.979721889097734,nan,1.2878995256429338,nan
BENERR,2.211111111111111,0.11767611656567098,0.5,1.0,0.6308697342534373,3.6890934676584513,nan,1.5252378941440283,nan
BENERR,2.277777777777778,0.11685053344070885,0.5,1.0,0.6395976060465676,3.7885270935335162,nan,1.5563222919795066,nan
BENERR,2.6888888888888887,0.1133560188702026,0.5,1.0,0.6865921195814451,4.334590313722716,nan,1.7248055063513807,nan
BENERR,2.8222222222222224,0.11262330544469171,0.5,1.0,0.6996512204908392,4.489490441861913,nan,1.7719613744654161,nan
BENERR,3.166666666666666,0.11040387294486981,0.5,1.0,0.729375654540575,4.888327883748182,nan,1.8878596511303165,nan
BENERR,3.366666666666667,0.10818083780394114,0.5,1.0,0.7443613838172318,5.144338341811237,nan,1.9564407756089799,nan
BENERR,3.911111111111112,0.10682432345312821,0.5,1.0,0.7784938959365842,5.6240346415295885,nan,2.0919715859761894,nan
BENERR,4.122222222222222,0.10593739619257017,0.5,1.0,0.789590764085748,5.8103744851049495,nan,2.1414337577404914,nan
BENERR,4.455555555555556,0.10404696577528177,0.5,1.0,0.8051708984838705,6.1115784405996,nan,2.2177753289809568,nan
BENERR,4.6,0.10382363664499308,0.5,1.0,0.8112778490676534,6.210453269595472,nan,2.24409644282619,nan
BENERR,5.0,0.10194336707660787,0.5,1.0,0.826466565707318,6.531294731495936,nan,2.3227564428399594,nan
